Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location
12/5/2012,USC,New Mexico,67,75,New Mexico,-8,Loss,Away
12/5/2012,SF Austin,Texas A&M,54,62,Texas A&M,-8,Loss,Away
12/5/2012,Hartford,Arizona St,63,71,Arizona St,-8,Loss,Away
12/5/2012,Texas St,Oral Roberts,77,86,Texas St,-9,Loss,Home
12/5/2012,UC Davis,San Jose St,64,73,UC Davis,-9,Loss,Home
12/5/2012,Colorado St,Colorado,61,70,Colorado,-9,Loss,Away
12/5/2012,Marshall,West Virginia,59,69,Neutral,-10,Loss,Neutral
12/5/2012,Chicago St,DePaul,64,74,Chicago St,-10,Loss,Home
12/5/2012,Colgate,Quinnipiac,56,67,Quinnipiac,-11,Loss,Away
12/5/2012,High Point,Wake Forest,60,71,Wake Forest,-11,Loss,Away
12/5/2012,Edwardsville,N Illinois,54,65,N Illinois,-11,Loss,Away
12/5/2012,IPFW,Valparaiso,52,63,Valparaiso,-11,Loss,Away
12/5/2012,Morehead St,N Dakota St,57,69,Morehead St,-12,Loss,Home
12/5/2012,Gardner Webb,Wofford,42,54,Wofford,-12,Loss,Away
12/5/2012,E Illinois,W Illinois,45,57,E Illinois,-12,Loss,Home
12/5/2012,South Florida,Oklahoma St,49,61,Oklahoma St,-12,Loss,Away
12/5/2012,Drake,St Mary's CA,73,88,Drake,-15,Loss,Home
12/5/2012,Villanova,Temple,61,76,Villanova,-15,Loss,Home
12/5/2012,N Colorado,Northern Iowa,59,76,Northern Iowa,-17,Loss,Away
12/5/2012,Monmouth NJ,Navy,66,85,Monmouth NJ,-19,Loss,Home
12/5/2012,Missouri St,Tulsa,42,61,Tulsa,-19,Loss,Away
12/5/2012,WI Milwaukee,Buffalo,52,72,WI Milwaukee,-20,Loss,Home
12/5/2012,UAB,Middle Tenn St,64,84,Middle Tenn St,-20,Loss,Away
12/5/2012,Duquesne,Pittsburgh,45,66,Neutral,-21,Loss,Neutral
12/5/2012,Boise St,Utah,55,76,Utah,-21,Loss,Away
12/5/2012,UC Riverside,Pepperdine,40,62,Pepperdine,-22,Loss,Away
12/5/2012,Penn St,La Salle,57,82,Neutral,-25,Loss,Neutral
12/5/2012,ETSU,James Madison,45,70,James Madison,-25,Loss,Away
12/5/2012,Florida St,Florida,47,72,Florida St,-25,Loss,Home
12/5/2012,Ohio,Memphis,58,84,Memphis,-26,Loss,Away
12/5/2012,Miami OH,Evansville,68,94,Evansville,-26,Loss,Away
12/5/2012,Mercer,Denver,40,69,Denver,-29,Loss,Away
12/5/2012,Ark Pine Bluff,Michigan St,44,76,Michigan St,-32,Loss,Away
12/5/2012,MD E Shore,Maryland,68,100,Maryland,-32,Loss,Away
12/5/2012,IUPUI,Butler,55,87,Butler,-32,Loss,Away
12/5/2012,Utah Valley,Weber St,56,89,Weber St,-33,Loss,Away
12/6/2012,Cincinnati,Ark Little Rock,87,53,Cincinnati,34,Win,Home
12/6/2012,Syracuse,Long Beach St,84,53,Syracuse,31,Win,Home
12/6/2012,Creighton,Nebraska,64,42,Nebraska,22,Win,Away
12/6/2012,Providence,Rhode Island,72,57,Providence,15,Win,Home
12/6/2012,San Diego St,Santa Barbara,84,70,San Diego St,14,Win,Home
12/6/2012,FL Atlantic,Stetson,88,78,Stetson,10,Win,Away
12/6/2012,William & Mary,Howard,78,69,William & Mary,9,Win,Home
12/6/2012,Tennessee Tech,WI Green Bay,74,68,Tennessee Tech,6,Win,Home
12/6/2012,Boston Univ,Coastal Car,69,63,Coastal Car,6,Win,Away
12/6/2012,American Univ,MD Baltimore Co,73,70,MD Baltimore Co,3,Win,Away
12/6/2012,Vanderbilt,Xavier,66,64,Xavier,2,Win,Away
12/6/2012,Idaho,E Washington,81,79,E Washington,2,Win,Away
12/6/2012,CS Bakersfield,CS Fullerton,72,70,CS Fullerton,2,Win,Away
12/6/2012,Xavier,Vanderbilt,64,66,Xavier,-2,Loss,Home
12/6/2012,E Washington,Idaho,79,81,E Washington,-2,Loss,Home
12/6/2012,CS Fullerton,CS Bakersfield,70,72,CS Fullerton,-2,Loss,Home
12/6/2012,MD Baltimore Co,American Univ,70,73,MD Baltimore Co,-3,Loss,Home
12/6/2012,WI Green Bay,Tennessee Tech,68,74,Tennessee Tech,-6,Loss,Away
12/6/2012,Coastal Car,Boston Univ,63,69,Coastal Car,-6,Loss,Home
12/6/2012,Howard,William & Mary,69,78,William & Mary,-9,Loss,Away
12/6/2012,Stetson,FL Atlantic,78,88,Stetson,-10,Loss,Home
12/6/2012,Santa Barbara,San Diego St,70,84,San Diego St,-14,Loss,Away
12/6/2012,Rhode Island,Providence,57,72,Providence,-15,Loss,Away
12/6/2012,Nebraska,Creighton,42,64,Nebraska,-22,Loss,Home
12/6/2012,Long Beach St,Syracuse,53,84,Syracuse,-31,Loss,Away
12/6/2012,Ark Little Rock,Cincinnati,53,87,Cincinnati,-34,Loss,Away
12/7/2012,South Carolina,Jacksonville,91,74,South Carolina,17,Win,Home
12/7/2012,VA Commonwealth,Old Dominion,83,70,Old Dominion,13,Win,Away
12/7/2012,Canisius,Fairfield,67,55,Fairfield,12,Win,Away
12/7/2012,Iowa,Iowa St,80,71,Iowa,9,Win,Home
12/7/2012,Connecticut,Harvard,57,49,Connecticut,8,Win,Home
12/7/2012,Mt St Mary's,Navy,72,65,Mt St Mary's,7,Win,Home
12/7/2012,WI Milwaukee,N Illinois,80,73,WI Milwaukee,7,Win,Home
12/7/2012,Rider,Siena,62,56,Siena,6,Win,Away
12/7/2012,Marist,Manhattan,62,58,Marist,4,Win,Home
12/7/2012,F Dickinson,Lafayette,82,80,F Dickinson,2,Win,Home
12/7/2012,Lafayette,F Dickinson,80,82,F Dickinson,-2,Loss,Away
12/7/2012,Manhattan,Marist,58,62,Marist,-4,Loss,Away
12/7/2012,Siena,Rider,56,62,Siena,-6,Loss,Home
12/7/2012,Navy,Mt St Mary's,65,72,Mt St Mary's,-7,Loss,Away
12/7/2012,N Illinois,WI Milwaukee,73,80,WI Milwaukee,-7,Loss,Away
12/7/2012,Harvard,Connecticut,49,57,Connecticut,-8,Loss,Away
12/7/2012,Iowa St,Iowa,71,80,Iowa,-9,Loss,Away
12/7/2012,Fairfield,Canisius,55,67,Fairfield,-12,Loss,Home
12/7/2012,Old Dominion,VA Commonwealth,70,83,Old Dominion,-13,Loss,Home
12/7/2012,Jacksonville,South Carolina,74,91,South Carolina,-17,Loss,Away
12/8/2012,Louisville,Missouri KC,99,47,Louisville,52,Win,Home
12/8/2012,Oregon,Idaho St,87,35,Oregon,52,Win,Home
12/8/2012,Syracuse,Monmouth NJ,108,56,Syracuse,52,Win,Home
12/8/2012,Pittsburgh,North Florida,89,47,Pittsburgh,42,Win,Home
12/8/2012,Kansas,Colorado,90,54,Kansas,36,Win,Home
12/8/2012,Ohio St,Long Beach St,89,55,Ohio St,34,Win,Home
12/8/2012,Wright St,VMI,92,59,Wright St,33,Win,Home
12/8/2012,Cincinnati,MD E Shore,92,60,Cincinnati,32,Win,Home
12/8/2012,Oregon St,Grambling,85,54,Oregon St,31,Win,Home
12/8/2012,Indiana,Central Conn,100,69,Indiana,31,Win,Home
12/8/2012,Missouri,Tennessee St,68,38,Missouri,30,Win,Home
12/8/2012,Virginia,MS Valley St,67,39,Virginia,28,Win,Home
12/8/2012,Kentucky,Portland,74,46,Kentucky,28,Win,Home
12/8/2012,Notre Dame,Brown,84,57,Notre Dame,27,Win,Home
12/8/2012,Wichita St,N Colorado,80,54,Wichita St,26,Win,Home
12/8/2012,Lipscomb,TN Martin,86,62,Lipscomb,24,Win,Home
12/8/2012,Duke,Temple,90,67,Neutral,23,Win,Neutral
12/8/2012,North Carolina,ETSU,78,55,North Carolina,23,Win,Home
12/8/2012,Dayton,Miami OH,83,61,Dayton,22,Win,Home
12/8/2012,Illinois St,W Michigan,85,63,Illinois St,22,Win,Home
12/8/2012,Bryant,Binghamton,78,56,Bryant,22,Win,Home
12/8/2012,Oklahoma St,Missouri St,62,42,Oklahoma St,20,Win,Home
12/8/2012,W Kentucky,IUPUI,77,57,W Kentucky,20,Win,Home
12/8/2012,Gardner Webb,Tennessee Tech,61,41,Gardner Webb,20,Win,Home
12/8/2012,Mercer,Alabama A&M,65,46,Mercer,19,Win,Home
12/8/2012,Memphis,Austin Peay,83,65,Memphis,18,Win,Home
12/8/2012,Duquesne,New Orleans,88,70,Duquesne,18,Win,Home
12/8/2012,North Texas,Jackson St,83,65,North Texas,18,Win,Home
12/8/2012,NC State,Cleveland St,80,63,NC State,17,Win,Home
12/8/2012,Ohio,Oakland,78,61,Ohio,17,Win,Home
12/8/2012,W Illinois,Edwardsville,55,38,W Illinois,17,Win,Home
12/8/2012,Lehigh,St Francis PA,83,67,St Francis PA,16,Win,Away
12/8/2012,Air Force,Ark Pine Bluff,65,49,Air Force,16,Win,Home
12/8/2012,Maryland,S Carolina St,61,46,Maryland,15,Win,Home
12/8/2012,Texas St,TX Pan American,73,58,Texas St,15,Win,Home
12/8/2012,Bowling Green,Samford,57,42,Bowling Green,15,Win,Home
12/8/2012,UAB,South Alabama,92,78,UAB,14,Win,Home
12/8/2012,Weber St,UC Irvine,65,51,Weber St,14,Win,Home
12/8/2012,Minnesota,USC,71,57,USC,14,Win,Away
12/8/2012,Michigan,Arkansas,80,67,Michigan,13,Win,Home
12/8/2012,New Mexico,Valparaiso,65,52,New Mexico,13,Win,Home
12/8/2012,Chicago St,Alabama St,67,54,Chicago St,13,Win,Home
12/8/2012,Villanova,Penn,68,55,Penn,13,Win,Away
12/8/2012,Michigan St,Loyola-Chicago,73,61,Michigan St,12,Win,Home
12/8/2012,Robert Morris,Hampton,66,54,Hampton,12,Win,Away
12/8/2012,Murray St,Evansville,82,70,Evansville,12,Win,Away
12/8/2012,Charlotte,C Michigan,78,66,Charlotte,12,Win,Home
12/8/2012,Arizona,Clemson,66,54,Clemson,12,Win,Away
12/8/2012,Sam Houston St,Houston Bap,69,57,Houston Bap,12,Win,Away
12/8/2012,St John's,Fordham,58,47,St John's,11,Win,Home
12/8/2012,Ball St,South Dakota,62,51,Ball St,11,Win,Home
12/8/2012,Arizona St,CS Northridge,87,76,Arizona St,11,Win,Home
12/8/2012,SC Upstate,UT San Antonio,88,77,SC Upstate,11,Win,Home
12/8/2012,Illinois,Gonzaga,85,74,Gonzaga,11,Win,Away
12/8/2012,Holy Cross,Dartmouth,67,56,Holy Cross,11,Win,Home
12/8/2012,E Kentucky,Chattanooga,63,52,Chattanooga,11,Win,Away
12/8/2012,Marquette,Wisconsin,60,50,Marquette,10,Win,Home
12/8/2012,Buffalo,Niagara,77,67,Buffalo,10,Win,Home
12/8/2012,Louisiana Tech,Southern Miss,65,55,Louisiana Tech,10,Win,Home
12/8/2012,Drake,IPFW,74,64,Drake,10,Win,Home
12/8/2012,Butler,Northwestern,74,65,Northwestern,9,Win,Away
12/8/2012,IL Chicago,Colorado St,64,55,IL Chicago,9,Win,Home
12/8/2012,Penn St,Army,78,70,Penn St,8,Win,Home
12/8/2012,New Hampshire,Yale,64,56,New Hampshire,8,Win,Home
12/8/2012,Morehead St,Indiana St,71,63,Morehead St,8,Win,Home
12/8/2012,Boston College,St Francis NY,72,64,Boston College,8,Win,Home
12/8/2012,Toledo,E Illinois,67,59,E Illinois,8,Win,Away
12/8/2012,Pacific,San Francisco,67,59,Pacific,8,Win,Home
12/8/2012,Rutgers,Iona,81,73,Neutral,8,Win,Neutral
12/8/2012,Drexel,Princeton,64,57,Princeton,7,Win,Away
12/8/2012,Vermont,Quinnipiac,53,46,Quinnipiac,7,Win,Away
12/8/2012,Georgia Tech,UNC Wilmington,73,66,Georgia Tech,7,Win,Home
12/8/2012,Davidson,Wofford,63,56,Davidson,7,Win,Home
12/8/2012,Pepperdine,Hawaii,63,56,Hawaii,7,Win,Away
12/8/2012,W Carolina,Appalachian St,70,64,W Carolina,6,Win,Home
12/8/2012,Loyola MD,St Peter's,61,55,Neutral,6,Win,Neutral
12/8/2012,Georgetown,Towson,46,40,Georgetown,6,Win,Home
12/8/2012,Delaware St,Delaware,73,67,Delaware,6,Win,Away
12/8/2012,Albany NY,Colgate,67,61,Colgate,6,Win,Away
12/8/2012,Marshall,Coppin St,69,63,Marshall,6,Win,Home
12/8/2012,San Diego,Tulane,78,72,San Diego,6,Win,Home
12/8/2012,Northern Iowa,George Mason,82,77,George Mason,5,Win,Away
12/8/2012,William & Mary,Radford,60,55,Radford,5,Win,Away
12/8/2012,McNeese St,ULL,77,72,McNeese St,5,Win,Home
12/8/2012,San Jose St,CS Sacramento,62,57,San Jose St,5,Win,Home
12/8/2012,Long Island,Hofstra,88,84,Long Island,4,Win,Home
12/8/2012,Seton Hall,Wake Forest,71,67,Wake Forest,4,Win,Away
12/8/2012,Utah Valley,Troy,86,82,Troy,4,Win,Away
12/8/2012,UTEP,Idaho,64,60,UTEP,4,Win,Home
12/8/2012,Kansas St,G Washington,65,62,G Washington,3,Win,Away
12/8/2012,Middle Tenn St,Mississippi,65,62,Middle Tenn St,3,Win,Home
12/8/2012,E Michigan,Purdue,47,44,E Michigan,3,Win,Home
12/8/2012,Nevada,Washington,76,73,Washington,3,Win,Away
12/8/2012,Arkansas St,St Bonaventure,73,70,Arkansas St,3,Win,Home
12/8/2012,Houston,TX Southern,78,75,Houston,3,Win,Home
12/8/2012,Cent Arkansas,SE Missouri St,88,85,SE Missouri St,3,Win,Away
12/8/2012,BYU,Utah,61,58,BYU,3,Win,Home
12/8/2012,UCLA,Texas,65,63,Neutral,2,Win,Neutral
12/8/2012,La Salle,Northeastern,66,64,Northeastern,2,Win,Away
12/8/2012,Tulsa,TCU,50,49,Tulsa,1,Win,Home
12/8/2012,West Virginia,Virginia Tech,68,67,West Virginia,1,Win,Home
12/8/2012,Richmond,James Madison,83,82,James Madison,1,Win,Away
12/8/2012,TCU,Tulsa,49,50,Tulsa,-1,Loss,Away
12/8/2012,Virginia Tech,West Virginia,67,68,West Virginia,-1,Loss,Away
12/8/2012,James Madison,Richmond,82,83,James Madison,-1,Loss,Home
12/8/2012,Texas,UCLA,63,65,Neutral,-2,Loss,Neutral
12/8/2012,Northeastern,La Salle,64,66,Northeastern,-2,Loss,Home
12/8/2012,G Washington,Kansas St,62,65,G Washington,-3,Loss,Home
12/8/2012,Mississippi,Middle Tenn St,62,65,Middle Tenn St,-3,Loss,Away
12/8/2012,Purdue,E Michigan,44,47,E Michigan,-3,Loss,Away
12/8/2012,Washington,Nevada,73,76,Washington,-3,Loss,Home
12/8/2012,St Bonaventure,Arkansas St,70,73,Arkansas St,-3,Loss,Away
12/8/2012,TX Southern,Houston,75,78,Houston,-3,Loss,Away
12/8/2012,SE Missouri St,Cent Arkansas,85,88,SE Missouri St,-3,Loss,Home
12/8/2012,Utah,BYU,58,61,BYU,-3,Loss,Away
12/8/2012,Hofstra,Long Island,84,88,Long Island,-4,Loss,Away
12/8/2012,Wake Forest,Seton Hall,67,71,Wake Forest,-4,Loss,Home
12/8/2012,Troy,Utah Valley,82,86,Troy,-4,Loss,Home
12/8/2012,Idaho,UTEP,60,64,UTEP,-4,Loss,Away
12/8/2012,George Mason,Northern Iowa,77,82,George Mason,-5,Loss,Home
12/8/2012,Radford,William & Mary,55,60,Radford,-5,Loss,Home
12/8/2012,ULL,McNeese St,72,77,McNeese St,-5,Loss,Away
12/8/2012,CS Sacramento,San Jose St,57,62,San Jose St,-5,Loss,Away
12/8/2012,Appalachian St,W Carolina,64,70,W Carolina,-6,Loss,Away
12/8/2012,St Peter's,Loyola MD,55,61,Neutral,-6,Loss,Neutral
12/8/2012,Towson,Georgetown,40,46,Georgetown,-6,Loss,Away
12/8/2012,Delaware,Delaware St,67,73,Delaware,-6,Loss,Home
12/8/2012,Colgate,Albany NY,61,67,Colgate,-6,Loss,Home
12/8/2012,Coppin St,Marshall,63,69,Marshall,-6,Loss,Away
12/8/2012,Tulane,San Diego,72,78,San Diego,-6,Loss,Away
12/8/2012,Princeton,Drexel,57,64,Princeton,-7,Loss,Home
12/8/2012,Quinnipiac,Vermont,46,53,Quinnipiac,-7,Loss,Home
12/8/2012,UNC Wilmington,Georgia Tech,66,73,Georgia Tech,-7,Loss,Away
12/8/2012,Wofford,Davidson,56,63,Davidson,-7,Loss,Away
12/8/2012,Hawaii,Pepperdine,56,63,Hawaii,-7,Loss,Home
12/8/2012,Army,Penn St,70,78,Penn St,-8,Loss,Away
12/8/2012,Yale,New Hampshire,56,64,New Hampshire,-8,Loss,Away
12/8/2012,Indiana St,Morehead St,63,71,Morehead St,-8,Loss,Away
12/8/2012,St Francis NY,Boston College,64,72,Boston College,-8,Loss,Away
12/8/2012,E Illinois,Toledo,59,67,E Illinois,-8,Loss,Home
12/8/2012,San Francisco,Pacific,59,67,Pacific,-8,Loss,Away
12/8/2012,Iona,Rutgers,73,81,Neutral,-8,Loss,Neutral
12/8/2012,Northwestern,Butler,65,74,Northwestern,-9,Loss,Home
12/8/2012,Colorado St,IL Chicago,55,64,IL Chicago,-9,Loss,Away
12/8/2012,Wisconsin,Marquette,50,60,Marquette,-10,Loss,Away
12/8/2012,Niagara,Buffalo,67,77,Buffalo,-10,Loss,Away
12/8/2012,Southern Miss,Louisiana Tech,55,65,Louisiana Tech,-10,Loss,Away
12/8/2012,IPFW,Drake,64,74,Drake,-10,Loss,Away
12/8/2012,Fordham,St John's,47,58,St John's,-11,Loss,Away
12/8/2012,South Dakota,Ball St,51,62,Ball St,-11,Loss,Away
12/8/2012,CS Northridge,Arizona St,76,87,Arizona St,-11,Loss,Away
12/8/2012,UT San Antonio,SC Upstate,77,88,SC Upstate,-11,Loss,Away
12/8/2012,Gonzaga,Illinois,74,85,Gonzaga,-11,Loss,Home
12/8/2012,Dartmouth,Holy Cross,56,67,Holy Cross,-11,Loss,Away
12/8/2012,Chattanooga,E Kentucky,52,63,Chattanooga,-11,Loss,Home
12/8/2012,Loyola-Chicago,Michigan St,61,73,Michigan St,-12,Loss,Away
12/8/2012,Hampton,Robert Morris,54,66,Hampton,-12,Loss,Home
12/8/2012,Evansville,Murray St,70,82,Evansville,-12,Loss,Home
12/8/2012,C Michigan,Charlotte,66,78,Charlotte,-12,Loss,Away
12/8/2012,Clemson,Arizona,54,66,Clemson,-12,Loss,Home
12/8/2012,Houston Bap,Sam Houston St,57,69,Houston Bap,-12,Loss,Home
12/8/2012,Arkansas,Michigan,67,80,Michigan,-13,Loss,Away
12/8/2012,Valparaiso,New Mexico,52,65,New Mexico,-13,Loss,Away
12/8/2012,Alabama St,Chicago St,54,67,Chicago St,-13,Loss,Away
12/8/2012,Penn,Villanova,55,68,Penn,-13,Loss,Home
12/8/2012,South Alabama,UAB,78,92,UAB,-14,Loss,Away
12/8/2012,UC Irvine,Weber St,51,65,Weber St,-14,Loss,Away
12/8/2012,USC,Minnesota,57,71,USC,-14,Loss,Home
12/8/2012,S Carolina St,Maryland,46,61,Maryland,-15,Loss,Away
12/8/2012,TX Pan American,Texas St,58,73,Texas St,-15,Loss,Away
12/8/2012,Samford,Bowling Green,42,57,Bowling Green,-15,Loss,Away
12/8/2012,St Francis PA,Lehigh,67,83,St Francis PA,-16,Loss,Home
12/8/2012,Ark Pine Bluff,Air Force,49,65,Air Force,-16,Loss,Away
12/8/2012,Cleveland St,NC State,63,80,NC State,-17,Loss,Away
12/8/2012,Oakland,Ohio,61,78,Ohio,-17,Loss,Away
12/8/2012,Edwardsville,W Illinois,38,55,W Illinois,-17,Loss,Away
12/8/2012,Austin Peay,Memphis,65,83,Memphis,-18,Loss,Away
12/8/2012,New Orleans,Duquesne,70,88,Duquesne,-18,Loss,Away
12/8/2012,Jackson St,North Texas,65,83,North Texas,-18,Loss,Away
12/8/2012,Alabama A&M,Mercer,46,65,Mercer,-19,Loss,Away
12/8/2012,Missouri St,Oklahoma St,42,62,Oklahoma St,-20,Loss,Away
12/8/2012,IUPUI,W Kentucky,57,77,W Kentucky,-20,Loss,Away
12/8/2012,Tennessee Tech,Gardner Webb,41,61,Gardner Webb,-20,Loss,Away
12/8/2012,Miami OH,Dayton,61,83,Dayton,-22,Loss,Away
12/8/2012,W Michigan,Illinois St,63,85,Illinois St,-22,Loss,Away
12/8/2012,Binghamton,Bryant,56,78,Bryant,-22,Loss,Away
12/8/2012,Temple,Duke,67,90,Neutral,-23,Loss,Neutral
12/8/2012,ETSU,North Carolina,55,78,North Carolina,-23,Loss,Away
12/8/2012,TN Martin,Lipscomb,62,86,Lipscomb,-24,Loss,Away
12/8/2012,N Colorado,Wichita St,54,80,Wichita St,-26,Loss,Away
12/8/2012,Brown,Notre Dame,57,84,Notre Dame,-27,Loss,Away
12/8/2012,MS Valley St,Virginia,39,67,Virginia,-28,Loss,Away
12/8/2012,Portland,Kentucky,46,74,Kentucky,-28,Loss,Away
12/8/2012,Tennessee St,Missouri,38,68,Missouri,-30,Loss,Away
12/8/2012,Grambling,Oregon St,54,85,Oregon St,-31,Loss,Away
12/8/2012,Central Conn,Indiana,69,100,Indiana,-31,Loss,Away
12/8/2012,MD E Shore,Cincinnati,60,92,Cincinnati,-32,Loss,Away
12/8/2012,VMI,Wright St,59,92,Wright St,-33,Loss,Away
12/8/2012,Long Beach St,Ohio St,55,89,Ohio St,-34,Loss,Away
12/8/2012,Colorado,Kansas,54,90,Kansas,-36,Loss,Away
12/8/2012,North Florida,Pittsburgh,47,89,Pittsburgh,-42,Loss,Away
12/8/2012,Missouri KC,Louisville,47,99,Louisville,-52,Loss,Away
12/8/2012,Idaho St,Oregon,35,87,Oregon,-52,Loss,Away
12/8/2012,Monmouth NJ,Syracuse,56,108,Syracuse,-52,Loss,Away
12/9/2012,DePaul,WI Milwaukee,84,50,DePaul,34,Win,Home
12/9/2012,Florida St,Maine,91,59,Florida St,32,Win,Home
12/9/2012,Iowa St,NE Omaha,93,65,Iowa St,28,Win,Home
12/9/2012,Furman,Presbyterian,81,57,Furman,24,Win,Home
12/9/2012,Manhattan,Siena,75,55,Manhattan,20,Win,Home
12/9/2012,N Dakota St,North Dakota,72,52,N Dakota St,20,Win,Home
12/9/2012,Norfolk St,MD Baltimore Co,83,66,Norfolk St,17,Win,Home
12/9/2012,Creighton,Akron,77,61,Creighton,16,Win,Home
12/9/2012,Fairfield,Rider,65,52,Rider,13,Win,Away
12/9/2012,Canisius,Marist,94,82,Marist,12,Win,Away
12/9/2012,Columbia,American Univ,54,42,American Univ,12,Win,Away
12/9/2012,Hartford,F Dickinson,69,59,F Dickinson,10,Win,Away
12/9/2012,Washington St,Fresno St,59,50,Washington St,9,Win,Home
12/9/2012,Xavier,Kent,62,55,Xavier,7,Win,Home
12/9/2012,S Dakota St,CS Bakersfield,69,63,S Dakota St,6,Win,Home
12/9/2012,Florida Intl,Stetson,82,79,Stetson,3,Win,Away
12/9/2012,Lafayette,Sacred Heart,72,70,Lafayette,2,Win,Home
12/9/2012,UNLV,California,76,75,California,1,Win,Away
12/9/2012,California,UNLV,75,76,California,-1,Loss,Home
12/9/2012,Sacred Heart,Lafayette,70,72,Lafayette,-2,Loss,Away
12/9/2012,Stetson,Florida Intl,79,82,Stetson,-3,Loss,Home
12/9/2012,CS Bakersfield,S Dakota St,63,69,S Dakota St,-6,Loss,Away
12/9/2012,Kent,Xavier,55,62,Xavier,-7,Loss,Away
12/9/2012,Fresno St,Washington St,50,59,Washington St,-9,Loss,Away
12/9/2012,F Dickinson,Hartford,59,69,F Dickinson,-10,Loss,Home
12/9/2012,Marist,Canisius,82,94,Marist,-12,Loss,Home
12/9/2012,American Univ,Columbia,42,54,American Univ,-12,Loss,Home
12/9/2012,Rider,Fairfield,52,65,Rider,-13,Loss,Home
12/9/2012,Akron,Creighton,61,77,Creighton,-16,Loss,Away
12/9/2012,MD Baltimore Co,Norfolk St,66,83,Norfolk St,-17,Loss,Away
12/9/2012,Siena,Manhattan,55,75,Manhattan,-20,Loss,Away
12/9/2012,North Dakota,N Dakota St,52,72,N Dakota St,-20,Loss,Away
12/9/2012,Presbyterian,Furman,57,81,Furman,-24,Loss,Away
12/9/2012,NE Omaha,Iowa St,65,93,Iowa St,-28,Loss,Away
12/9/2012,Maine,Florida St,59,91,Florida St,-32,Loss,Away
12/9/2012,WI Milwaukee,DePaul,50,84,DePaul,-34,Loss,Away
12/10/2012,Georgetown,Longwood,89,53,Georgetown,36,Win,Home
12/10/2012,Virginia Tech,MS Valley St,70,49,Virginia Tech,21,Win,Home
12/10/2012,ULL,Lamar,77,60,ULL,17,Win,Home
12/10/2012,Detroit,Alabama St,81,68,Detroit,13,Win,Home
12/10/2012,Navy,Bryant,69,59,Navy,10,Win,Home
12/10/2012,ULM,SE Louisiana,68,61,ULM,7,Win,Home
12/10/2012,Seattle,E Washington,75,69,E Washington,6,Win,Away
12/10/2012,E Washington,Seattle,69,75,E Washington,-6,Loss,Home
12/10/2012,SE Louisiana,ULM,61,68,ULM,-7,Loss,Away
12/10/2012,Bryant,Navy,59,69,Navy,-10,Loss,Away
12/10/2012,Alabama St,Detroit,68,81,Detroit,-13,Loss,Away
12/10/2012,Lamar,ULL,60,77,ULL,-17,Loss,Away
12/10/2012,MS Valley St,Virginia Tech,49,70,Virginia Tech,-21,Loss,Away
12/10/2012,Longwood,Georgetown,53,89,Georgetown,-36,Loss,Away
12/11/2012,St Mary's CA,Jackson St,120,67,St Mary's CA,53,Win,Home
12/11/2012,Auburn,Grambling,92,42,Auburn,50,Win,Home
12/11/2012,Michigan,Binghamton,67,39,Michigan,28,Win,Home
12/11/2012,Santa Clara,San Jose St,75,54,San Jose St,21,Win,Away
12/11/2012,Stony Brook,St Francis NY,77,61,St Francis NY,16,Win,Away
12/11/2012,LSU,Chattanooga,80,67,LSU,13,Win,Home
12/11/2012,Minnesota,N Dakota St,70,57,Minnesota,13,Win,Home
12/11/2012,Nevada,Cal Poly SLO,69,56,Nevada,13,Win,Home
12/11/2012,Villanova,St Joseph's PA,65,61,Villanova,4,Win,Home
12/11/2012,Duquesne,West Virginia,60,56,Duquesne,4,Win,Home
12/11/2012,Rutgers,G Washington,68,65,Rutgers,3,Win,Home
12/11/2012,NJIT,Army,69,67,NJIT,2,Win,Home
12/11/2012,Harvard,Boston Univ,65,64,Harvard,1,Win,Home
12/11/2012,Boston Univ,Harvard,64,65,Harvard,-1,Loss,Away
12/11/2012,Army,NJIT,67,69,NJIT,-2,Loss,Away
12/11/2012,G Washington,Rutgers,65,68,Rutgers,-3,Loss,Away
12/11/2012,St Joseph's PA,Villanova,61,65,Villanova,-4,Loss,Away
12/11/2012,West Virginia,Duquesne,56,60,Duquesne,-4,Loss,Away
12/11/2012,Chattanooga,LSU,67,80,LSU,-13,Loss,Away
12/11/2012,N Dakota St,Minnesota,57,70,Minnesota,-13,Loss,Away
12/11/2012,Cal Poly SLO,Nevada,56,69,Nevada,-13,Loss,Away
12/11/2012,St Francis NY,Stony Brook,61,77,St Francis NY,-16,Loss,Home
12/11/2012,San Jose St,Santa Clara,54,75,San Jose St,-21,Loss,Home
12/11/2012,Binghamton,Michigan,39,67,Michigan,-28,Loss,Away
12/11/2012,Grambling,Auburn,42,92,Auburn,-50,Loss,Away
12/11/2012,Jackson St,St Mary's CA,67,120,St Mary's CA,-53,Loss,Away
12/12/2012,Ohio St,Savannah St,85,45,Ohio St,40,Win,Home
12/12/2012,Maryland,Monmouth NJ,71,38,Maryland,33,Win,Home
12/12/2012,Long Island,Rice,97,70,Rice,27,Win,Away
12/12/2012,Coppin St,MD Baltimore Co,80,61,MD Baltimore Co,19,Win,Away
12/12/2012,DePaul,Arizona St,78,61,Arizona St,17,Win,Away
12/12/2012,Baylor,Lamar,85,68,Baylor,17,Win,Home
12/12/2012,Niagara,Hartford,75,59,Niagara,16,Win,Home
